ENTRADA,ID_LINEA,SALIDA
Tarapacá,1414,Antofagasta
Tarapacá,1610,Antofagasta
Tarapacá,1083,Antofagasta
Tarapacá,1522,Antofagasta
Antofagasta,1065,Atacama
Antofagasta,918,Atacama
Antofagasta,920,Atacama
Antofagasta,849,Atacama
Atacama,905,Coquimbo
Atacama,902,Coquimbo
Atacama,973,Coquimbo
Atacama,974,Coquimbo
Atacama,1585,Coquimbo
Atacama,180,Coquimbo
Coquimbo,906,Valparaíso
Coquimbo,668,Valparaíso
Coquimbo,190,Valparaíso
Coquimbo,284,Valparaíso
Valparaíso,580,Metropolitana
Valparaíso,927,Metropolitana
Valparaíso,80,Metropolitana
Valparaíso,1696,Metropolitana
Valparaíso,697,Metropolitana
Valparaíso,36,Metropolitana
Valparaíso,851,Metropolitana
Valparaíso,570,Metropolitana
Valparaíso,203,Metropolitana
Valparaíso,1396,Metropolitana
Valparaíso,390,Metropolitana
Valparaíso,1659,Metropolitana
Metropolitana,380,O’Higgins
Metropolitana,389,O’Higgins
Metropolitana,1549,O’Higgins
Metropolitana,954,O’Higgins
Metropolitana,132,O’Higgins
Metropolitana,220,O’Higgins
Metropolitana,16,O’Higgins
Metropolitana,134,O’Higgins
Metropolitana,814,O’Higgins
Metropolitana,864,O’Higgins
Metropolitana,869,O’Higgins
O’Higgins,869,Maule
O’Higgins,814,Maule
O’Higgins,864,Maule
O’Higgins,1322,Maule
O’Higgins,176,Maule
O’Higgins,1350,Maule
O’Higgins,326,Maule
O’Higgins,394,Maule
Maule,280,Biobío
Maule,1765,Biobío
Maule,1294,Biobío
Maule,1315,Biobío
Maule,1283,Biobío
Biobío,1490,Araucanía
Biobío,976,Araucanía
Biobío,1400,Araucanía
Biobío,1664,Araucanía
Biobío,84,Araucanía
Biobío,978,Araucanía
Biobío,334,Araucanía
Biobío,1431,Araucanía
Araucanía,1499,Los Lagos
Araucanía,340,Los Lagos
Araucanía,339,Los Lagos
